"gcr1.26","Points:0","Points:1","Points:2"
1.3923e-06,-15.2,19.4,10.574
4.0997e-06,-15.2,19.341,10.574
0.16765,-15.2,19.341,10.45
0.2292,-15.2,19.4,10.45
1.4454e-05,-15.2,19.272,10.574
0.15951,-15.2,19.272,10.45
3.9815e-05,-15.2,19.193,10.574
0.1517,-15.2,19.193,10.45
9.4036e-05,-15.2,19.1,10.574
0.14415,-15.2,19.1,10.45
0.00020089,-15.2,18.993,10.574
0.13681,-15.2,18.993,10.45
0.00040162,-15.2,18.869,10.574
0.12965,-15.2,18.869,10.45
0.00076423,-15.2,18.725,10.574
0.12269,-15.2,18.725,10.45
0.001391,-15.2,18.558,10.574
0.11595,-15.2,18.558,10.45
0.0024186,-15.2,18.364,10.574
0.1095,-15.2,18.364,10.45
0.0040018,-15.2,18.139,10.574
0.10336,-15.2,18.139,10.45
0.0062746,-15.2,17.879,10.574
0.09757,-15.2,17.879,10.45
0.0093116,-15.2,17.576,10.574
0.092059,-15.2,17.576,10.45
0.013061,-15.2,17.225,10.574
0.08666,-15.2,17.225,10.45
0.0173,-15.2,16.818,10.574
0.081133,-15.2,16.818,10.45
0.021641,-15.2,16.346,10.574
0.075136,-15.2,16.346,10.45
0.02553,-15.2,15.798,10.574
0.06832,-15.2,15.798,10.45
0.02837,-15.2,15.162,10.574
0.060529,-15.2,15.162,10.45
0.029608,-15.2,14.425,10.574
0.051969,-15.2,14.425,10.45
0.02892,-15.2,13.57,10.574
0.043152,-15.2,13.57,10.45
0.026482,-15.2,12.578,10.574
0.034677,-15.2,12.578,10.45
0.022862,-15.2,11.428,10.574
0.027081,-15.2,11.428,10.45
0.01892,-15.2,10.093,10.574
0.020845,-15.2,10.093,10.45
0.015944,-15.2,8.9013,10.574
0.016896,-15.2,8.9013,10.45
0.013606,-15.2,7.8373,10.574
0.014091,-15.2,7.8373,10.45
0.011766,-15.2,6.8873,10.574
0.012017,-15.2,6.8873,10.45
0.010288,-15.2,6.039,10.574
0.010416,-15.2,6.039,10.45
0.0090682,-15.2,5.2817,10.574
0.0091315,-15.2,5.2817,10.45
0.0080358,-15.2,4.6055,10.574
0.0080628,-15.2,4.6055,10.45
0.0071349,-15.2,4.0017,10.574
0.0071414,-15.2,4.0017,10.45
0.0063267,-15.2,3.4627,10.574
0.0063219,-15.2,3.4627,10.45
0.0056073,-15.2,2.9814,10.574
0.0055971,-15.2,2.9814,10.45
0.0049877,-15.2,2.5516,10.574
0.004976,-15.2,2.5516,10.45
0.0044657,-15.2,2.168,10.574
0.0044548,-15.2,2.168,10.45
0.004021,-15.2,1.8254,10.574
0.0040113,-15.2,1.8254,10.45
0.0036338,-15.2,1.5195,10.574
0.0036253,-15.2,1.5195,10.45
0.0033042,-15.2,1.2464,10.574
0.0032968,-15.2,1.2464,10.45
0.0030178,-15.2,1.0025,10.574
0.0030112,-15.2,1.0025,10.45
0.0027608,-15.2,0.78482,10.574
0.002755,-15.2,0.78482,10.45
0.0025568,-15.2,0.59043,10.574
0.0025517,-15.2,0.59043,10.45
0.0024135,-15.2,0.41687,10.574
0.0024089,-15.2,0.41687,10.45
0.0023323,-15.2,0.2619,10.574
0.0023284,-15.2,0.2619,10.45
0.0023696,-15.2,0.12354,10.574
0.0023661,-15.2,0.12354,10.45
0.0024257,-15.2,0,10.574
0.002422,-15.2,0,10.45
1.652e-08,-15.2,19.4,10.719
1.1334e-07,-15.2,19.341,10.719
7.5223e-07,-15.2,19.272,10.719
3.2111e-06,-15.2,19.193,10.719
1.0258e-05,-15.2,19.1,10.719
2.7497e-05,-15.2,18.993,10.719
6.6996e-05,-15.2,18.869,10.719
0.00015381,-15.2,18.725,10.719
0.00033379,-15.2,18.558,10.719
0.00067923,-15.2,18.364,10.719
0.0012873,-15.2,18.139,10.719
0.002265,-15.2,17.879,10.719
0.0036988,-15.2,17.576,10.719
0.0056131,-15.2,17.225,10.719
0.0079363,-15.2,16.818,10.719
0.0105,-15.2,16.346,10.719
0.0131,-15.2,15.798,10.719
0.015522,-15.2,15.162,10.719
0.017446,-15.2,14.425,10.719
0.01851,-15.2,13.57,10.719
0.018493,-15.2,12.578,10.719
0.017394,-15.2,11.428,10.719
